filename	ntokens	finitecls+advl	thatcls+vcomp	whcls+vcomp	finitecls+rel	thatcls+ncomp	thatcls+jcomp	xtrapos+thatcls+jcomp	whcls+incomp	tocls+advl	ingcls+advl	edcls+advl	tocls+vcomp	tocls+ncomp	ingcls+vcomp	edcls+rel	ingcls+rel	tocls+rel	tocls+jcomp	xtrapos+tocls+jcomp	ingcls+incomp	rb+advl	in+advl	attr+npremod	nn+npremod	of+npostmod	in+npostmod	appos+npostmod	in+jcomp	rb+jjrbmod
LIN.G0.01.1_tagged.txt	1145	113.53711790393014	69.86899563318778	8.733624454148472	78.60262008733625	0.0	0.0	0.0	0.0	34.93449781659389	34.93449781659389	8.733624454148472	61.1353711790393	8.733624454148472	26.200873362445414	69.86899563318778	34.93449781659389	8.733624454148472	17.467248908296945	0.0	26.200873362445414	244.5414847161572	541.4847161572053	628.82096069869	227.07423580786028	305.67685589519647	192.13973799126637	8.733624454148472	61.1353711790393	104.80349344978166
CEE.G0.01.1_tagged.txt	1691	82.7912477823773	11.827321111768185	5.913660555884093	41.39562389118865	0.0	0.0	0.0	5.913660555884093	59.13660555884093	82.7912477823773	29.568302779420463	53.222945002956834	0.0	5.913660555884093	130.10053222945004	5.913660555884093	29.568302779420463	23.65464222353637	0.0	59.13660555884093	218.80544056771143	544.0567711413364	502.66114725014785	396.2152572442341	360.7332939089296	153.7551744529864	5.913660555884093	29.568302779420463	23.65464222353637
ECO.G0.01.1_tagged.txt	810	148.14814814814815	61.72839506172839	0.0	74.07407407407408	12.345679012345679	0.0	0.0	12.345679012345679	12.345679012345679	24.691358024691358	12.345679012345679	12.345679012345679	0.0	12.345679012345679	24.691358024691358	0.0	0.0	12.345679012345679	0.0	74.07407407407408	209.87654320987656	518.5185185185185	913.5802469135803	407.40740740740745	370.3703703703703	320.9876543209877	61.72839506172839	61.72839506172839	123.45679012345678
EDU.G0.01.1_tagged.txt	2305	182.2125813449024	108.45986984815617	21.69197396963124	138.82863340563992	0.0	13.015184381778742	0.0	30.36876355748373	47.72234273318872	13.015184381778742	17.35357917570499	108.45986984815617	8.676789587852495	8.676789587852495	30.36876355748373	8.676789587852495	13.015184381778742	30.36876355748373	4.3383947939262475	39.04555314533623	242.95010845986985	550.9761388286335	420.824295010846	173.5357917570499	286.3340563991323	164.8590021691974	4.3383947939262475	43.38394793926248	91.1062906724512
IOE.G0.02.1_tagged.txt	2832	74.15254237288136	21.1864406779661	7.062146892655367	45.90395480225989	7.062146892655367	0.0	3.5310734463276834	0.0	3.5310734463276834	42.3728813559322	14.124293785310734	49.43502824858758	3.5310734463276834	0.0	38.84180790960452	3.5310734463276834	3.5310734463276834	3.5310734463276834	10.59322033898305	35.31073446327684	134.180790960452	370.76271186440675	681.497175141243	893.361581920904	218.92655367231637	360.1694915254237	45.90395480225989	45.90395480225989	95.33898305084746
ENG.G0.01.2_tagged.txt	674	163.20474777448072	89.02077151335313	0.0	59.347181008902076	14.836795252225519	0.0	0.0	0.0	14.836795252225519	44.51038575667656	0.0	29.673590504451038	0.0	14.836795252225519	29.673590504451038	14.836795252225519	0.0	0.0	0.0	178.04154302670625	118.69436201780415	667.6557863501483	667.6557863501483	133.53115727002967	489.6142433234421	178.04154302670625	14.836795252225519	44.51038575667656	14.836795252225519
BIO.G0.01.1_tagged.txt	5729	101.23930877989177	22.69156920928609	6.982021295164951	94.25728748472683	3.4910106475824754	0.0	6.982021295164951	1.7455053237912377	10.473031942747426	24.43707453307733	6.982021295164951	41.8921277709897	8.727526618956189	1.7455053237912377	26.182579856868564	12.218537266538664	8.727526618956189	29.673590504451038	3.4910106475824754	43.63763309478094	260.0802932448944	495.7235119567115	862.2796299528713	368.3016233199511	260.0802932448944	281.0263571303892	57.60167568511084	73.31122359923198	151.85896316983766
CLS.G0.01.1_tagged.txt	2537	130.074891604257	86.71659440283798	3.9416633819471816	134.01655498620417	7.883326763894363	0.0	11.824990145841545	0.0	55.183287347260546	31.533307055577453	7.883326763894363	82.77493102089082	23.64998029168309	15.766653527788726	19.70831690973591	7.883326763894363	27.591643673630273	15.766653527788726	3.9416633819471816	55.183287347260546	244.38312968072526	488.7662593614505	662.1994481671265	114.30823807646827	260.149783208514	248.32479306267246	19.70831690973591	43.35829720141899	110.36657469452109
HIS.G0.01.1_tagged.txt	1643	85.20998174071819	48.691418137553256	6.086427267194157	85.20998174071819	0.0	0.0	0.0	12.172854534388314	18.25928180158247	12.172854534388314	0.0	42.604990870359096	24.345709068776628	0.0	36.51856360316494	6.086427267194157	12.172854534388314	12.172854534388314	0.0	48.691418137553256	213.0249543517955	523.4327449786974	803.4083992696288	164.33353621424223	353.01278149726113	279.97565429093123	85.20998174071819	54.77784540474742	91.29640900791236
MEC.G0.02.1_tagged.txt	1722	81.30081300813009	81.30081300813009	5.807200929152149	75.49361207897793	5.807200929152149	0.0	0.0	11.614401858304298	11.614401858304298	52.264808362369344	23.228803716608596	40.650406504065046	23.228803716608596	5.807200929152149	69.68641114982579	11.614401858304298	11.614401858304298	11.614401858304298	0.0	29.036004645760745	116.14401858304298	493.6120789779326	470.38327526132406	632.9849012775842	255.51684088269457	406.5040650406504	40.650406504065046	34.84320557491289	17.421602787456447
